Daniel Weichel,Brian Moore,Submission,Arm-Triangle Choke,Marc Goddard,1,4:44,/fighter/Daniel-Weichel-4541,/fighter/Brian-Moore-64364,0016-06-10T00:00:00.000-05:17:32,Bellator,Bellator 169,King Mo vs. Ishii,"3Arena, Dublin, Ireland",http://www.sherdog.com/events/Bellator-169-King-Mo-vs-Ishii-55743
Cameron Else,Dylan Tuke,TKO,Punch,Marc Goddard,1,0:20,/fighter/Cameron-Else-66351,/fighter/Dylan-Tuke-94241,0016-06-10T00:00:00.000-05:17:32,Bellator,Bellator 169,King Mo vs. Ishii,"3Arena, Dublin, Ireland",http://www.sherdog.com/events/Bellator-169-King-Mo-vs-Ishii-55743
Alessio Sakara,Joey Beltran,TKO,Punches,Kevin MacDonald,1,1:20,/fighter/Alessio-Sakara-5366,/fighter/Joey-Beltran-21219,0016-04-11T00:00:00.000-05:17:32,Bellator,Bellator 168,Sakara vs. Beltran,"Nelson Mandela Forum, Florence, Italy",http://www.sherdog.com/events/Bellator-168-Sakara-vs-Beltran-55381
Goiti Yamauchi,Valeriu Mircea,Submission,Triangle Choke,Jason Herzog,1,3:33,/fighter/Goiti-Yamauchi-48629,/fighter/Valeriu-Mircea-196397,0016-04-11T00:00:00.000-05:17:32,Bellator,Bellator 168,Sakara vs. Beltran,"Nelson Mandela Forum, Florence, Italy",http://www.sherdog.com/events/Bellator-168-Sakara-vs-Beltran-55381
Ed Ruth,Emanuele Palombi,TKO,Punches,Kevin MacDonald,1,1:37,/fighter/Ed-Ruth-197807,/fighter/Emanuele-Palombi-199703,0016-04-11T00:00:00.000-05:17:32,Bellator,Bellator 168,Sakara vs. Beltran,"Nelson Mandela Forum, Florence, Italy",http://www.sherdog.com/events/Bellator-168-Sakara-vs-Beltran-55381
Kleber Raimundo Silva,Philipe Lins,TKO,Punches,Kevin MacDonald,2,3:42,/fighter/Kleber-Raimundo-Silva-33225,/fighter/Philipe-Lins-61438,0016-04-11T00:00:00.000-05:17:32,Bellator,Bellator 168,Sakara vs. Beltran,"Nelson Mandela Forum, Florence, Italy",http://www.sherdog.com/events/Bellator-168-Sakara-vs-Beltran-55381
John Salter,Claudio Annicchiarico,TKO,Punches,Jason Herzog,1,1:40,/fighter/John-Salter-44683,/fighter/Claudio-Annicchiarico-220889,0016-04-11T00:00:00.000-05:17:32,Bellator,Bellator 168,Sakara vs. Beltran,"Nelson Mandela Forum, Florence, Italy",http://www.sherdog.com/events/Bellator-168-Sakara-vs-Beltran-55381
Max Holloway,Anthony Pettis,TKO,Kick to the Body and Punches,Yves Lavigne,3,4:50,/fighter/Max-Holloway-38671,/fighter/Anthony-Pettis-26627,0016-04-11T00:00:00.000-05:17:32,UFC,UFC 206,Holloway vs. Pettis,"Air Canada Centre, Toronto, Ontario, Canada",http://www.sherdog.com/events/UFC-206-Holloway-vs-Pettis-55001
Donald Cerrone,Matt Brown,KO,Head Kick,John McCarthy,3,0:34,/fighter/Donald-Cerrone-15105,/fighter/Matt-Brown-14310,0016-04-11T00:00:00.000-05:17:32,UFC,UFC 206,Holloway vs. Pettis,"Air Canada Centre, Toronto, Ontario, Canada",http://www.sherdog.com/events/UFC-206-Holloway-vs-Pettis-55001
Cub Swanson,Doo Ho Choi,Decision,Unanimous,Dan Miragliotta,3,5:00,/fighter/Cub-Swanson-11002,/fighter/Doo-Ho-Choi-56689,0016-04-11T00:00:00.000-05:17:32,UFC,UFC 206,Holloway vs. Pettis,"Air Canada Centre, Toronto, Ontario, Canada",http://www.sherdog.com/events/UFC-206-Holloway-vs-Pettis-55001
